% Experiment Date: 2026-07-22 16:20:59
% Sweep: -1.000000e-03 A to 1.000000e-03 A (51 points)
Channel_Set,Current_A,Measured_Voltage_V
3_4_3_4,-1.000000e-03,8.000988e+00
3_4_3_4,-9.600000e-04,8.000988e+00
3_4_3_4,-9.200000e-04,8.000992e+00
3_4_3_4,-8.800000e-04,8.000980e+00
3_4_3_4,-8.400000e-04,8.000339e+00
3_4_3_4,-8.000000e-04,8.000991e+00
3_4_3_4,-7.600000e-04,7.999980e+00
3_4_3_4,-7.200000e-04,8.000980e+00
3_4_3_4,-6.800000e-04,7.999231e+00
3_4_3_4,-6.400000e-04,8.000972e+00
3_4_3_4,-6.000000e-04,8.000565e+00
3_4_3_4,-5.600000e-04,8.000984e+00
3_4_3_4,-5.200000e-04,8.000974e+00
3_4_3_4,-4.800000e-04,8.000970e+00
3_4_3_4,-4.400000e-04,8.001506e+00
3_4_3_4,-4.000000e-04,8.000988e+00
3_4_3_4,-3.600000e-04,8.001797e+00
3_4_3_4,-3.200000e-04,8.000977e+00
3_4_3_4,-2.800000e-04,8.000982e+00
3_4_3_4,-2.400000e-04,8.000978e+00
3_4_3_4,-2.000000e-04,8.000983e+00
3_4_3_4,-1.600000e-04,8.000979e+00
3_4_3_4,-1.200000e-04,8.000981e+00
3_4_3_4,-8.000000e-05,-7.971168e+00
3_4_3_4,-4.000000e-05,-4.000013e+00
3_4_3_4,0.000000e+00,-4.285719e-03
3_4_3_4,4.000000e-05,4.000533e+00
3_4_3_4,8.000000e-05,7.992107e+00
3_4_3_4,1.200000e-04,8.000899e+00
3_4_3_4,1.600000e-04,8.000919e+00
3_4_3_4,2.000000e-04,8.000925e+00
3_4_3_4,2.400000e-04,8.000933e+00
3_4_3_4,2.800000e-04,8.000876e+00
3_4_3_4,3.200000e-04,8.000949e+00
3_4_3_4,3.600000e-04,8.000493e+00
3_4_3_4,4.000000e-04,8.000951e+00
3_4_3_4,4.400000e-04,8.000398e+00
3_4_3_4,4.800000e-04,8.000967e+00
3_4_3_4,5.200000e-04,8.000936e+00
3_4_3_4,5.600000e-04,8.000967e+00
3_4_3_4,6.000000e-04,8.000959e+00
3_4_3_4,6.400000e-04,8.000963e+00
3_4_3_4,6.800000e-04,8.000961e+00
3_4_3_4,7.200000e-04,8.000967e+00
3_4_3_4,7.600000e-04,8.000968e+00
3_4_3_4,8.000000e-04,8.000480e+00
3_4_3_4,8.400000e-04,8.000958e+00
3_4_3_4,8.800000e-04,7.999747e+00
3_4_3_4,9.200000e-04,8.000955e+00
3_4_3_4,9.600000e-04,7.999785e+00
3_4_3_4,1.000000e-03,8.000968e+00
