% Experiment Date: 2026-07-22 16:33:44
% DC Current: 1.000000e-04 A
Time_s,3_4_5_6
0.000349,2.721307e+01
0.207586,2.695333e+02
0.793449,2.695333e+02
0.997618,2.708018e+02
1.201118,2.715425e+02
1.403563,2.723432e+02
1.608688,2.737071e+02
1.813331,2.746255e+02
2.019627,2.759633e+02
2.226709,2.769748e+02
2.429595,2.783111e+02
2.629883,2.796629e+02
2.836704,2.799221e+02
3.036748,2.806190e+02
3.237462,2.817245e+02
3.437524,2.824699e+02
3.640751,2.829944e+02
3.845681,2.839403e+02
4.057791,2.844303e+02
4.271484,2.851560e+02
4.478276,2.856131e+02
4.678783,2.861825e+02
4.878823,2.868598e+02
5.083707,2.873917e+02
5.289694,2.879631e+02
5.499625,2.881691e+02
5.709513,2.889865e+02
5.917722,2.892409e+02
6.118045,2.897672e+02
6.327443,2.899691e+02
6.533904,2.906643e+02
6.734000,2.912127e+02
6.940428,2.915820e+02
7.143189,2.915703e+02
7.344830,2.921236e+02
7.550137,2.925730e+02
7.750158,2.928656e+02
7.950251,2.928581e+02
8.150603,2.935223e+02
8.351473,2.937797e+02
8.551533,2.934056e+02
8.751575,2.936924e+02
8.953764,2.950551e+02
9.160815,2.944913e+02
9.369268,2.941831e+02
9.570047,2.950110e+02
9.780778,2.952622e+02
9.989955,2.950255e+02
10.197910,2.961415e+02
10.402478,2.962343e+02
10.602591,2.963440e+02
10.803141,2.965904e+02
11.010053,2.962508e+02
11.213748,2.966580e+02
11.422772,2.969727e+02
11.630835,2.973956e+02
11.838315,2.973096e+02
12.044902,2.978578e+02
12.250123,2.973461e+02
12.457565,2.981912e+02
12.659210,2.980722e+02
12.863234,2.980413e+02
13.063766,2.976460e+02
13.265475,2.984296e+02
13.470658,2.987392e+02
13.671784,2.988832e+02
13.872016,2.995505e+02
14.072351,2.995015e+02
14.273751,2.996312e+02
14.473785,3.001722e+02
14.683378,3.001951e+02
14.894030,3.000995e+02
15.101547,2.999296e+02
15.310500,3.002318e+02
15.517814,3.003726e+02
15.721237,3.008597e+02
15.921269,3.008056e+02
16.124332,3.009544e+02
16.330007,3.009646e+02
16.538169,3.012191e+02
16.740904,3.017570e+02
16.950553,3.013608e+02
17.153173,3.020472e+02
17.359575,3.018421e+02
17.559619,3.021431e+02
17.766740,3.022306e+02
17.966814,3.020650e+02
18.179814,3.026215e+02
18.389496,3.028993e+02
18.590066,3.026642e+02
18.790059,3.023405e+02
18.991855,3.028523e+02
19.196346,3.030888e+02
19.396368,3.032184e+02
19.596393,3.035396e+02
19.796424,3.027365e+02
20.001320,3.037039e+02
20.210928,3.037152e+02
20.413438,3.036128e+02
20.613689,3.037128e+02
20.818445,3.048421e+02
21.021958,3.049595e+02
