% Experiment Date: 2026-07-22 16:36:51
% DC Current: 1.000000e-04 A
Time_s,11_12_13_14
0.000005,9.299573e+01
0.208762,9.300967e+01
0.414016,9.301750e+01
0.620536,9.302824e+01
0.820689,9.304330e+01
1.028840,9.305581e+01
1.239231,9.306357e+01
1.445918,9.308490e+01
1.646114,9.309648e+01
1.848842,9.310907e+01
2.057500,9.311952e+01
2.263936,9.313643e+01
2.470376,9.314748e+01
2.674336,9.315982e+01
2.880267,9.317231e+01
3.087124,9.318335e+01
3.290808,9.319547e+01
3.505505,9.320835e+01
3.707708,9.322087e+01
3.908973,9.323259e+01
4.117952,9.324775e+01
4.324914,9.325860e+01
4.525981,9.327056e+01
4.727001,9.328367e+01
4.938653,9.330429e+01
5.139237,9.330627e+01
5.345730,9.332800e+01
5.550940,9.334177e+01
5.751074,9.335119e+01
5.964467,9.336268e+01
6.166992,9.338067e+01
6.367034,9.339028e+01
6.567165,9.340107e+01
6.776601,9.341385e+01
6.980348,9.342771e+01
7.180438,9.343742e+01
7.385626,9.345324e+01
7.593499,9.346458e+01
7.799904,9.347456e+01
8.009987,9.349204e+01
8.210035,9.350068e+01
8.410067,9.351110e+01
8.611608,9.352697e+01
8.811641,9.353870e+01
9.011859,9.355307e+01
9.218855,9.356661e+01
9.421039,9.357430e+01
9.630016,9.358608e+01
9.842239,9.360665e+01
10.049578,9.362025e+01
10.258292,9.363163e+01
10.460382,9.364310e+01
10.666965,9.365936e+01
10.872125,9.366946e+01
11.074059,9.367822e+01
11.274174,9.369501e+01
11.480293,9.370824e+01
11.680933,9.372138e+01
11.896464,9.373162e+01
12.097606,9.374669e+01
12.298444,9.376009e+01
12.499032,9.377274e+01
12.707282,9.378289e+01
12.908509,9.379755e+01
13.111638,9.381151e+01
13.315789,9.381869e+01
13.522968,9.383161e+01
13.730673,9.384738e+01
13.933000,9.385874e+01
14.141426,9.387789e+01
14.341463,9.388972e+01
14.550368,9.390380e+01
14.753483,9.391268e+01
14.957387,9.392773e+01
15.170292,9.394188e+01
15.380534,9.395310e+01
15.585150,9.396402e+01
15.790209,9.398049e+01
15.999259,9.398969e+01
16.211809,9.400180e+01
16.417512,9.401752e+01
16.618602,9.402830e+01
16.830330,9.403925e+01
17.035682,9.405326e+01
17.238373,9.406698e+01
17.444923,9.408630e+01
17.645187,9.409662e+01
17.852441,9.411218e+01
18.053003,9.412424e+01
18.254484,9.413573e+01
18.463015,9.415189e+01
18.671344,9.415868e+01
18.880716,9.417201e+01
19.080752,9.418866e+01
19.288145,9.419872e+01
19.494981,9.421243e+01
19.704022,9.422468e+01
19.912404,9.423583e+01
20.120689,9.424771e+01
20.321171,9.426030e+01
20.521983,9.427357e+01
20.731116,9.428578e+01
20.939277,9.429984e+01
21.139307,9.431348e+01
21.339461,9.432425e+01
21.548407,9.434276e+01
21.748903,9.435770e+01
21.950347,9.437044e+01
22.159117,9.438075e+01
22.359780,9.439604e+01
22.560290,9.440657e+01
22.762738,9.442073e+01
22.963975,9.443249e+01
23.167169,9.444662e+01
23.374372,9.445583e+01
23.575805,9.447414e+01
23.782944,9.448605e+01
23.990690,9.449664e+01
24.194148,9.451047e+01
24.404133,9.452058e+01
24.609426,9.453392e+01
24.815504,9.454768e+01
25.016992,9.455990e+01
25.223954,9.456997e+01
25.432978,9.459017e+01
25.638365,9.460010e+01
25.843567,9.461942e+01
26.044426,9.463047e+01
26.256363,9.464262e+01
26.456722,9.465733e+01
26.656738,9.466871e+01
26.856759,9.468240e+01
27.056783,9.469652e+01
27.256806,9.470782e+01
27.460713,9.472346e+01
27.661185,9.473375e+01
27.879009,9.474389e+01
